QM Energy	FF Energy
     -4.4835e-05    -4.34897e-05
    -0.000920496      -0.0011052
     -2.9032e-05    -3.17687e-05
     -4.0953e-05    -4.11617e-05
    -0.000311883    -0.000352378
    -0.000171263    -0.000171402
     -5.9321e-05    -6.93085e-05
      -2.164e-05    -2.58744e-05
    -0.000432142    -0.000546679
    -0.000137668    -0.000129615
    -0.000169718    -0.000192035
    -0.000712552    -0.000636733
    -0.000462917    -0.000509913
     -3.5715e-05    -4.83699e-05
     -3.0819e-05    -3.20828e-05
    -0.000398619    -0.000456179
     -6.1501e-05    -6.22936e-05
     -5.8908e-05    -7.46859e-05
     -0.00198298     -0.00188882
    -0.000349322     -0.00031958
    -0.000902385    -0.000953041
    -0.000174547    -0.000153742
      -9.649e-05    -0.000107748
    -0.000436066    -0.000486314
    -0.000356178    -0.000289683
    -0.000246896    -0.000244758
    -0.000326913    -0.000402121
     -0.00019248    -0.000291753
    -0.000208802      -0.0001845
    -0.000156103    -0.000267223
     -0.00030421    -0.000270299
     -0.00228788     -0.00208891
       -2.61e-05    -2.79512e-05
     -7.2816e-05    -9.00237e-05
     -9.7241e-05    -8.71916e-05
    -0.000870992    -0.000896793
    -0.000275375    -0.000280814
    -0.000537151     -0.00055809
     -5.0305e-05    -6.65461e-05
     -0.00136669     -0.00145645
    -0.000585979    -0.000625576
    -0.000417103    -0.000357538
     -0.00102655     -0.00115994
     -9.8187e-05    -0.000114676
     -3.8019e-05    -3.86775e-05
     -5.3145e-05    -8.32259e-05
    -0.000129288     -0.00015269
    -0.000847574     -0.00066499
     -0.00101008    -0.000815027
    -0.000647901    -0.000643247
    -0.000575221    -0.000603115
     -9.3304e-05    -0.000111384
     -0.00024082    -0.000236273
     -0.00012847    -0.000126886
    -0.000127001    -0.000123241
    -0.000200174    -0.000246695
     -5.7064e-05    -5.38387e-05
    -0.000513196    -0.000501485
    -0.000293337    -0.000318472
     -5.2421e-05    -6.12754e-05
     -5.7452e-05    -5.56882e-05
    -0.000484026    -0.000501921
     -4.7197e-05    -4.12246e-05
     -0.00194874     -0.00198022
     -3.3316e-05    -4.54725e-05
    -0.000148409    -0.000148839
    -0.000341614    -0.000382436
    -0.000406126    -0.000414125
    -0.000261172    -0.000299322
    -0.000244658    -0.000194815
    -0.000796596     -0.00078171
    -0.000736553    -0.000734948
     -3.5939e-05    -4.07334e-05
    -0.000130969    -0.000111945
    -0.000123421    -0.000118405
     -0.00202228     -0.00199672
     -0.00126289     -0.00106929
    -0.000134632    -0.000113823
     -8.0235e-05    -7.67566e-05
     -0.00150012     -0.00133077
    -0.000132725      -0.0001363
     -7.8603e-05     -7.3199e-05
     -0.00137978     -0.00167556
    -0.000373346     -0.00047259
     -0.00029044    -0.000326702
    -0.000131232    -0.000144179
    -0.000161835    -0.000156536
    -0.000101017    -9.59566e-05
     -4.8531e-05    -6.25823e-05
     -0.00056981    -0.000664769
    -0.000608802    -0.000815346
    -0.000170121    -0.000166871
    -0.000529807    -0.000661709
    -0.000156302    -0.000147343
    -0.000100024    -8.94472e-05
     -0.00016905    -0.000214612
     -5.4742e-05    -6.72927e-05
    -0.000408036    -0.000394694
    -0.000612557    -0.000664922
    -0.000208036     -0.00018858
    -0.000584029    -0.000817317
    -0.000258018    -0.000277798
     -9.6337e-05    -8.44546e-05
     -0.00102067     -0.00108987
    -0.000103022     -0.00011018
    -0.000479334    -0.000515857
    -0.000597801    -0.000579965
     -6.5269e-05    -6.49684e-05
    -0.000133202    -0.000111079
     -4.7475e-05     -5.3119e-05
     -0.00155372      -0.0011514
     -0.00030501    -0.000287455
    -0.000561764    -0.000706375
    -0.000176335    -0.000162822
    -0.000598681    -0.000453358
    -0.000111632    -9.87565e-05
     -5.6107e-05    -6.58611e-05
    -0.000219851    -0.000233839
     -3.3183e-05    -3.61247e-05
    -0.000363692    -0.000378549
    -0.000668726    -0.000731416
     -7.5039e-05    -8.61954e-05
     -0.00144114     -0.00147637
      -7.274e-05    -0.000128953
    -0.000613202    -0.000681299
    -0.000179112    -0.000161381
     -0.00019107    -0.000190661
     -4.9711e-05    -4.86452e-05
    -0.000107544    -8.80629e-05
    -0.000124694    -0.000112646
    -0.000604874    -0.000717499
    -0.000123806    -0.000106801
     -2.1168e-05    -2.50887e-05
     -5.0919e-05    -7.53966e-05
    -0.000269492    -0.000331218
    -0.000551443    -0.000588245
     -0.00160589      -0.0018016
    -0.000618072    -0.000599024
    -0.000352484    -0.000389377
    -0.000372772    -0.000538898
    -0.000402454    -0.000378536
     -9.7152e-05    -0.000103645
      -0.0011038     -0.00126268
    -0.000288974     -0.00026995
    -0.000728788    -0.000936915
    -0.000285689    -0.000282062
     -0.00014316    -0.000127381
     -0.00020121    -0.000221541
    -0.000406564    -0.000401316
    -0.000170802    -0.000172088
    -0.000118453    -0.000137002
     -2.7211e-05    -3.08986e-05
     -0.00188756     -0.00191123
    -0.000230592    -0.000221007
    -0.000146043    -0.000132803
    -0.000122956    -0.000110371
